DATASET, #TRAINING_RELEASES, %TRAINING_INSTANCES, CLASSIFIER, BALANCING, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
zookeeper,2,12.435233160621761,Naive Bayes,Undersampling,0.9771241830065359,0.9115853658536586,0.7657298018292683,0.10239008557096473,1196.0,28.0,12.0,116.0
zookeeper,3,16.748768472906406,Naive Bayes,Undersampling,0.8752941176470588,0.9620689655172414,0.6060457076149425,0.17857057344666602,1116.0,159.0,33.0,44.0
zookeeper,4,29.927007299270073,Naive Bayes,Undersampling,0.9535269709543569,0.8399122807017544,0.7639693852687274,0.3553585817888799,1149.0,56.0,112.0,219.0
zookeeper,5,39.24050632911393,Naive Bayes,Undersampling,0.8553779069767442,0.9553571428571429,0.7490641554169515,0.3660565723793675,1177.0,199.0,105.0,55.0
zookeeper,6,51.02040816326531,Naive Bayes,Undersampling,0.9213583556747096,0.8423202614379085,0.8476608324953914,0.49785000279220404,1031.0,88.0,224.0,193.0
zookeeper,7,62.1923937360179,Naive Bayes,Undersampling,0.8898225957049486,0.9163461538461538,0.828921659270217,0.5575294703636061,953.0,118.0,194.0,87.0
zookeeper,8,59.73154362416108,Naive Bayes,Undersampling,0.9606126914660832,0.7692757009345794,0.8080391242810927,0.29629339393464443,1317.0,54.0,154.0,395.0
zookeeper,9,62.96296296296296,Naive Bayes,Undersampling,0.8998133167392657,0.8992537313432836,0.7220886752136753,0.382733744207157,1446.0,161.0,151.0,162.0
zookeeper,10,66.94214876033058,Naive Bayes,Undersampling,0.8786089238845144,0.8855820105820106,0.7814566798941799,0.43684127733207495,1339.0,185.0,223.0,173.0
zookeeper,11,70.92882991556091,Naive Bayes,Undersampling,0.8628257887517147,0.8884180790960452,0.8102310094456214,0.5111783435881747,1258.0,200.0,312.0,158.0
zookeeper,12,72.39635995955511,Naive Bayes,Undersampling,0.8912404467960023,0.8536036036036037,0.7220842165695107,0.3737144094402944,1516.0,185.0,223.0,260.0
zookeeper,13,77.24268177525968,Naive Bayes,Undersampling,0.9069620253164556,0.9001256281407035,0.8029816119286911,0.4561985664985399,1433.0,147.0,189.0,159.0
zookeeper,14,76.76595744680851,Naive Bayes,Undersampling,0.9019264448336253,0.885894495412844,0.8113857902418682,0.4911398576892018,1545.0,168.0,272.0,199.0
zookeeper,15,78.75486381322958,Naive Bayes,Undersampling,0.8992601024473534,0.9316037735849056,0.867211060740798,0.5954041709450131,1580.0,177.0,311.0,116.0
zookeeper,16,80.53977272727273,Naive Bayes,Undersampling,0.9069901790872328,0.9345238095238095,0.8779250372023809,0.6423114348198886,1570.0,161.0,351.0,110.0
zookeeper,17,83.90957446808511,Naive Bayes,Undersampling,0.898250162022035,0.9166666666666666,0.8408596011779974,0.561144717280976,1386.0,157.0,267.0,126.0
zookeeper,18,84.96894409937889,Naive Bayes,Undersampling,0.9214929214929215,0.9470899470899471,0.8901874625636418,0.6837215320910974,1432.0,122.0,302.0,80.0
zookeeper,19,84.1324200913242,Naive Bayes,Undersampling,0.8991044776119403,0.8964285714285715,0.8455171130952381,0.5839521794144596,1506.0,169.0,375.0,174.0
zookeeper,20,85.27542372881356,Naive Bayes,Undersampling,0.8669426374926079,0.91625,0.8367643229166667,0.5815394678362081,1466.0,225.0,399.0,134.0
zookeeper,21,86.3147605083089,Naive Bayes,Undersampling,0.8691255205234979,0.917713567839196,0.8596914937341026,0.602751796671005,1461.0,220.0,428.0,131.0
